──── ────────── ─── ────────────── ────────────── ──────────────
коло    дата    x6p        добивка           фонд         џекпот
──── ────────── ─── ────────────── ────────────── ──────────────
  17 2010-08-23   2     387,261.50      44,449.19     730,073.37
  26 2010-10-25   1     415,432.00      46,875.25     368,556.89
  31 2010-11-18   1     201,393.50      32,475.67     168,917.83
  10 2011-02-03   1   1,003,727.50      44,565.02     959,162.51
  15 2011-02-21   1     251,721.00      51,874.99     199,846.11
  17 2011-02-28   1      93,616.50      47,677.49      45,939.14
  22 2011-03-17   1     231,002.50      44,227.88     186,774.84
  27 2011-04-04   2     107,479.50      45,023.83     169,935.19
  31 2011-04-18   1     172,985.00      44,874.56     128,110.38
  36 2011-05-05   1     399,309.00     244,018.03     155,291.19
  47 2011-06-13   1     852,658.50      59,557.26     793,101.47
  96 2011-11-30   1   2,131,987.00      29,612.08   2,102,375.00
   2 2012-01-07   1     486,068.00      31,335.62     454,732.55
  10 2012-02-04   1     281,237.00      32,366.15     248,870.89
  25 2012-03-28   1     839,268.50      34,819.67     804,448.92
  27 2012-04-04   2      69,109.00      71,656.30      66,562.17
  34 2012-04-28   1     492,126.00      64,545.66     427,580.54
  52 2012-06-30   3     409,745.00      65,236.82   1,163,998.88
  55 2012-07-11   1     109,713.00      27,943.08      81,770.12
  79 2012-10-03   1     684,936.00      24,635.33     660,300.51
  99 2012-12-12   1     586,336.50      33,640.93     552,695.48
 104 2012-12-29   2      92,319.00      43,838.82     140,799.55
   2 2013-01-05   1      83,722.50      45,053.67      38,668.76
   7 2013-01-23   2     107,251.50      43,236.16     171,266.49
  18 2013-03-02   1     491,083.50      44,085.14     446,998.34
  22 2013-03-16   1     187,787.50      47,270.33     140,517.08
  24 2013-03-23   1      63,024.50      31,203.40      31,820.88
  66 2013-08-17   1   1,274,293.00      32,333.72   1,241,959.38
  73 2013-09-11   1     229,116.00      33,873.51     195,242.48
  90 2013-11-09   1     625,546.50      41,926.83     583,619.58
  94 2013-11-23   1     170,660.00      40,642.25     130,017.65
  95 2013-11-27   3      12,979.00      38,937.04           0.00
 101 2013-12-18   1     272,859.00      49,664.63     223,194.30
   5 2014-01-15   1     405,966.00      51,877.86     354,087.91
  14 2014-02-15   1     475,411.50      54,098.84     421,312.59
  27 2014-04-02   1     509,724.50      30,448.09     479,276.52
  41 2014-05-21   1     437,583.00      29,173.48     408,409.67
  46 2014-06-07   1     144,263.50      30,037.40     114,226.14
  57 2014-07-16   1     297,076.50      28,777.03     268,299.59
  67 2014-08-20   1     274,168.50      28,591.00     245,577.48
  78 2014-09-27   1     303,796.00      27,255.12     276,540.96
  79 2014-10-01   1      27,286.00      27,285.86           0.00
  50 2015-06-24   2   1,218,501.00      30,518.40   2,406,483.44
  75 2015-09-19   1     665,647.50      25,695.25     639,952.44
  84 2015-10-21   1     241,566.50      27,846.99     213,719.40
  99 2015-12-12   1     440,033.50      31,665.31     408,368.29
 103 2015-12-26   1     131,621.50      34,970.91      96,650.70
 104 2015-12-30   2     167,811.50      98,185.14     237,437.50
   7 2016-01-23   1     292,491.00      36,685.47     255,805.29
  16 2016-02-24   1     357,463.00      40,225.52     317,237.27
  27 2016-04-02   1     460,590.00      41,876.74     418,713.37
  30 2016-04-13   1     127,275.50      41,366.19      85,909.46
  39 2016-05-14   1     379,417.00      43,055.82     336,361.19
  51 2016-06-25   1     499,408.00      39,565.84     459,842.41
  56 2016-07-13   1     212,687.00      44,934.64     167,752.12
  58 2016-07-20   1      90,137.50      46,676.63      43,461.08
  62 2016-08-03   1     176,549.00      44,288.14     132,261.09
  64 2016-08-10   1      93,218.00      47,220.28      45,997.63
  70 2016-08-31   1     284,043.50      46,931.85     237,111.46
  72 2016-09-07   1      96,241.00      47,668.88      48,572.01
  77 2016-09-24   1     281,577.00      52,904.95     228,672.20
 102 2016-12-21   1     965,624.00      35,822.94     929,801.05
   4 2017-01-14   1     390,188.00      38,191.76     351,996.33
  13 2017-02-15   2     168,148.50      39,576.68     296,719.91
  19 2017-03-08   1     235,129.50      41,081.10     194,048.65
  27 2017-04-05   1     286,013.50      33,575.12     252,438.28
  55 2017-07-12   1     925,378.00      31,840.08     893,537.98
  76 2017-09-23   1     670,485.00      32,177.86     638,306.98
  91 2017-11-15   1     496,356.50      32,442.79     463,913.77
  94 2017-11-25   1     102,897.00      34,514.39      68,382.57
  98 2017-12-09   1     143,948.50      36,717.20     107,231.23
 101 2017-12-20   1     113,055.00      37,026.66      76,028.25
  22 2018-03-17   2     514,784.50      42,414.34     987,154.38
  29 2018-04-11   1     300,433.50      41,644.30     258,789.10
──── ────────── ─── ────────────── ────────────── ──────────────
  74

